x,Cp
1,0.24999
0.9957,0.17486
0.98872,0.15403
0.98103,0.13183
0.97249,0.11447
0.96301,0.09914
0.95258,0.08382
0.94135,0.06532
0.93003,0.04561
0.91879,0.02865
0.90745,0.01013
0.89599,-0.00663
0.8846,-0.02192
0.87322,-0.03847
0.8618,-0.05283
0.85033,-0.06781
0.83883,-0.08435
0.82733,-0.09933
0.81584,-0.1147
0.80438,-0.13045
0.79295,-0.14516
0.78152,-0.15951
0.7701,-0.17473
0.75868,-0.18778
0.74725,-0.20271
0.73583,-0.21753
0.72441,-0.23147
0.713,-0.24552
0.7016,-0.26054
0.69021,-0.27368
0.67882,-0.28719
0.66742,-0.30091
0.65603,-0.31425
0.64463,-0.32722
0.63324,-0.34092
0.62186,-0.35466
0.61049,-0.36744
0.59912,-0.38082
0.58775,-0.39356
0.57638,-0.40561
0.56501,-0.41785
0.55364,-0.43048
0.54229,-0.44245
0.53096,-0.45482
0.51965,-0.46673
0.50835,-0.47721
0.49707,-0.48622
0.48579,-0.49198
0.47449,-0.49665
0.46318,-0.50023
0.45184,-0.5027
0.44049,-0.50576
0.42914,-0.50808
0.41778,-0.5104
0.40642,-0.51216
0.39506,-0.5129
0.3837,-0.51342
0.37232,-0.5131
0.36094,-0.51418
0.34954,-0.51354
0.33815,-0.515
0.32676,-0.51588
0.31537,-0.51734
0.304,-0.51821
0.29263,-0.52019
0.28127,-0.52163
0.26992,-0.52245
0.25858,-0.52398
0.24725,-0.52529
0.23593,-0.52647
0.22462,-0.52746
0.21333,-0.52855
0.20204,-0.53001
0.19077,-0.53195
0.17951,-0.53395
0.16827,-0.53631
0.15706,-0.53866
0.14589,-0.54183
0.13478,-0.54576
0.12375,-0.54992
0.11278,-0.55387
0.10186,-0.55791
0.09096,-0.56201
0.08007,-0.56758
0.06938,-0.57907
0.0591,-0.59568
0.04915,-0.61005
0.03931,-0.61849
0.02994,-0.63245
0.02211,-0.70185
0.01616,-0.82656
0.01184,-0.89516
0.00866,-0.93709
0.00625,-1.00575
0.00437,-1.03222
0.00288,-0.84983
0.00175,-0.64232
0.00093,-0.41367
0.00038,-0.15256
0.00006,0.14386
-0.00002,0.46724
0.00015,0.76771
0.00058,0.94586
0.00125,0.99988
0.00221,0.96795
0.00349,0.88205
0.00517,0.76408
0.00726,0.64711
0.00987,0.55708
0.0133,0.47911
0.01798,0.41159
0.02448,0.37138
0.03295,0.32275
0.04286,0.26723
0.05315,0.22416
0.06358,0.19355
0.07437,0.17035
0.08547,0.14701
0.09666,0.12579
0.10782,0.10723
0.11899,0.09259
0.13019,0.07895
0.14147,0.06771
0.15281,0.05686
0.1642,0.04627
0.1756,0.03632
0.18701,0.02699
0.19841,0.01828
0.20981,0.01057
0.22122,0.00285
0.23264,-0.00337
0.24408,-0.00979
0.25552,-0.01607
0.26697,-0.02189
0.27843,-0.02732
0.28988,-0.03277
0.30134,-0.03822
0.3128,-0.04222
0.32426,-0.04768
0.33573,-0.05097
0.3472,-0.05637
0.35867,-0.06016
0.37013,-0.06477
0.38158,-0.06912
0.39302,-0.0729
0.40445,-0.07667
0.41588,-0.07988
0.4273,-0.08262
0.43872,-0.08417
0.45014,-0.08655
0.46154,-0.0885
0.47292,-0.08913
0.48428,-0.08911
0.49563,-0.08907
0.50697,-0.08544
0.51833,-0.08114
0.5297,-0.07602
0.5411,-0.06967
0.55252,-0.06294
0.56395,-0.05683
0.5754,-0.05048
0.58685,-0.04373
0.5983,-0.0364
0.60976,-0.02971
0.62122,-0.02225
0.63269,-0.01488
0.64417,-0.00716
0.65565,0.00082
0.66714,0.0084
0.67864,0.01689
0.69014,0.02459
0.70165,0.03378
0.71317,0.04207
0.7247,0.05126
0.73624,0.06048
0.7478,0.06947
0.75937,0.07799
0.77094,0.08698
0.7825,0.09589
0.79407,0.10427
0.80562,0.11467
0.81714,0.1252
0.82864,0.13513
0.84011,0.14629
0.85154,0.15537
0.86294,0.1642
0.87431,0.17236
0.88567,0.18169
0.89706,0.19084
0.90852,0.20475
0.92007,0.22058
0.93159,0.23404
0.94287,0.24614
0.95362,0.2534
0.96362,0.25358
0.97277,0.25162
0.98111,0.24689
0.98872,0.24338
0.99567,0.23061
1,0.24999
